station_id,route_key,mp,role,reason,site,station_type,on,at,shs_offset_m,lat,lon
00116,12,30.17,pulled,,00116,P,US 12 MAIN,US-12  8.2 Mi. W of Clearwater-NezPerce Line,0.8,46.5072207268751,-116.519587236634
00019,12,63.921,pulled,,00019,P,US 12 MAIN,US-12  2.5 Mi. NW of Jct SH-64,0.3,46.2534494281224,-116.058875876117
00084,12,163.3,skip,next to 00019,00084,P,US 12 MAIN,US-12  0.2 Mi. NE of Powell Ranger Station,0.4,46.5203363367661,-114.696760231057
00185,12,163.3,skip,co-located with 00084,00084,W,US 12 MAIN,US-12  0.2 Mi. NE. of Powell Ranger Station,0.4,46.5203372558607,-114.696765362556
00022,15,1.945,pulled,,00022,P,INT 15 MAIN,I-15  0.6 Mi. S of Woodruff IC (SB),0.8,42.0283455810494,-112.208032965069
00065,15,24.352,skip,between 00022 and 00079,00065,P,INT 15 MAIN,I-15  6.5 Mi. S of Jct SH-40 (SB),1.0,42.3427762019642,-112.226507952879
00079,15,30.076,pulled,,00079,W,INT 15 MAIN,I-15  .78 Mi. S of Jct SH-40 (SB),1.2,42.4200146973574,-112.187458858956
00004,15,61.832,skip,between 00079 and 00246,00004,P,INT 15 MAIN,I-15  1 Mi. SE of Portneuf IC (SB),1.1,42.7983377464637,-112.342907737265
00246,15,70.365,pulled,,00246,P,INT 15 MAIN,I-15  0.54 Mi. S of Pocatello Creek Rd IC,0.7,42.8899420519792,-112.431761028466
00302,15,71.693,skip,between 00246 and 00024,00302,P,INT 15 MAIN,,0.9,42.908186,-112.439955
00024,15,72.614,pulled,,00024,P,INT 15 MAIN,I-15  0.6 Mi. N of Jct I-86 (SB),1.0,42.9215077556535,-112.440962732084
00344,15,77.896,skip,between 00024 and 00064,00344,P,INT 15 MAIN,I-15 6 Mi. north of I-86 Junction - MP 78 (NB),1.2,42.994944276608,-112.413877697759
00064,15,95.952,pulled,,00064,P,INT 15 MAIN,I-15  1.6 Mi. S of Rose-Firth IC (SB),1.2,43.2416094494575,-112.325991454052
00176,15,114.624,skip,between 00064 and 00061,00176,P,INT 15 MAIN,I-15  1.45 Mi. N. of Exit 113 (NB),1.2,43.4547812081654,-112.099751239169
00061,15,132.644,pulled,,00061,P,INT 15 MAIN,I-15  1.8 Mi. S of Jct SH-48 (SB),0.7,43.6930718723737,-112.122649641455
00073,15,175.825,skip,next to 00061,00073,P,INT 15 MAIN,I-15  4 Mi. N of Ranch Exit (#172) (NB),1.2,44.3026596063381,-112.203237037434
00231,15 BL 01380,0.617,pulled,,00231,P,INT 15 BL,"I-15 Bus  0.6 Mi. E. of IC #116, Idaho Falls",0.7,43.4677249003202,-112.074853228233
00163,16,5.88,pulled,,00163,P,SH 16 MAIN,SH-16  16 Ft. S. of Boise River Bridge,1.2,43.6802843798601,-116.462647180195
00274,16,11.708,skip,next to 00163,00274,P,SH 16 MAIN,SH-16  0.3 Mi. S of Roseway Ln,0.8,43.762507837092,-116.464226257585
00266,184,1.783,pulled,,00266,P,INT 184 MAIN,I-184  .5 Mi. NE of N. Cole OP (EB),1.2,43.6117448577227,-116.266559231008
00009,19,15.424,pulled,,00009,P,SH 19 MAIN,SH-19  4.5 Mi. W of Caldwell,0.7,43.6696568136808,-116.785536988229
00227,19,20.14,skip,next to 00009,00227,P,SH 19 MAIN,"Centennial Way (I-84 Bus)  260 ft. S of W Chicago St, Caldwell",1.2,43.6729613042195,-116.696064014447
00047,2,2.637,pulled,,00047,P,US 2 MAIN,US-2  2.6 Mi. E of Idaho-Washington Line,0.6,48.180244429139,-116.985084643137
00310,2,28.861,skip,co-located with 00308,00308,P,US 2 MAIN,"US-2  100 Ft. S of Larch St, Sandpoint",1.2,48.28006271262,-116.55345973856
00308,2,28.903,skip,next to 00047,00308,P,US 2 MAIN,"US-2  100 Ft. N of Larch St, Sandpoint",1.2,48.2806270460318,-116.553117139536
00189,20,0.381,skip,next to 00188,00189,P,US 20 MAIN,US-20  0.1 Mi. W of Apple Valley Rd,0.3,43.8754810050114,-116.976701066069
00188,20,18.051,pulled,,00188,P,US 20 MAIN,US-20  0.4 Mi. NW of Mink Rd,0.3,43.7128196809637,-116.765820876894
00109,20,26.307,skip,between 00188 and 00337,00109,P,US 20 MAIN,,0.7,43.6630674921154,-116.628520888322
