# ITD District 1 NextXDSegI repair table - derived by corridors.repair_links
# district: 1
# radius_m: 25.0
# max_bearing_delta_deg: 90.0
# require_same_bearing: True
# bearing_probe_m: 30.0
# n_segments: 5007
# n_null_next: 1706
# n_fill: 1124
# n_override: 18
# ambiguous_fill: 45
# ambiguous_override: 0
# skipped_off_subset: 38
# crs: EPSG:32611
segment,old_next,new_next,kind,gap_m,bearing_delta_deg,xdgroup,road_name,lanes
123915185,,124639466,fill,0.0,0.0904335738845532,295892,N 16th St,1.022
123917606,,124266454,fill,0.005415830671149546,0.8206600253345755,295954,E Coeur Dalene Ave,1.0
123920790,,124060791,fill,5.152372522355682e-07,0.14059973311663043,296043,W Greenwich Rd,1.205
123922368,,124792849,fill,0.0,0.012509937591715925,296083,E 5th Ave,1.0
123922405,,124035929,fill,1.7115332946568985e-07,0.4946474150551978,296087,College Ave,1.0
123922437,,124736869,fill,1.862645149230957e-09,0.16620162493688895,296088,S Greensferry Rd,1.0
123923715,,124316157,fill,2.671731635928154e-08,0.02365383899382323,296125,W Harrison Ave,1.059
123928277,,124268392,fill,3.786935995113502,0.636515728406323,296251,W Riverbend Ave,1.122
123928341,,123977449,fill,2.9150417506740846e-07,0.12463821047927581,296253,N Hill St,1.0
123928378,,385666713,fill,0.0,1.8500755593073563,296256,W Hanley Ave,1.054
123929670,,124285726,fill,1.2079186979428257e-06,4.90124424867264,296253,N Hill St,1.0
123930626,,386053794,fill,0.0,1.195452129316152,296353,N Greensferry Rd,1.066
123932591,386067391,1626496439,override,0.0,0.9971874056190018,296417,W Pointe Pkwy,2.177
123933887,,124674439,fill,1.6996636986732483e-08,0.08034616145170048,296446,Pine St,1.0
123933917,,124215892,fill,0.0,4.911685222091194,296449,W Riverview Dr,1.0
123938862,,771107544,fill,0.2839768770066626,1.913592446430215,296615,N Greensferry Rd,1.0
123948672,,475087540,fill,0.0,3.2946501457921045,296962,E Honeysuckle Ave,1.0
123948748,,124013666,fill,4.7497451305389404e-08,0.7275160256933475,296966,S McGuire Rd,1.0
123953355,,124559233,fill,0.0,0.19570181742057002,297172,W 15th Ave,1.0
123953534,,124097378,fill,4.6566128730773926e-09,2.0727216041665883,296615,N Greensferry Rd,1.0655
123958048,,124054050,fill,0.0,0.37881190287907884,297334,W Lake St,1.0
123958056,,124216331,fill,4.343290126660531e-08,1.1558734431641824,296448,Cedar St,1.0
123958102,,475089169,fill,4.96715680627926e-08,2.6498911129968405,297339,E Honeysuckle Ave,1.0
123962536,,124158837,fill,3.6467289096716196e-07,2.826810557513454,297518,W Cougar Gulch Rd,1.0
123962611,,124040433,fill,4.604988464912095e-07,1.0250039892753193,295954,E Coeur Dalene Ave,1.0
123962613,,124647678,fill,3.259982395654074e-08,0.32023156244588336,295954,E Coeur Dalene Ave,1.0
123962627,,124674475,fill,0.0,0.1158042861115689,296081,N Old Highway 95,1.054
123967043,,124792822,fill,1.4747408894382528e-06,0.34397105323913024,297684,E Foster Ave,1.0
123967109,,124517253,fill,2.4221819169557515e-07,0.24159480641060327,297685,W Honeysuckle Ave,1.0
123967129,,123988487,fill,6.49664253838873e-08,0.2110513107670613,295954,E Coeur Dalene Ave,1.0
123970860,,475085415,fill,1.862645149230957e-09,0.07874846280444103,296615,N Greensferry Rd,1.0505
123971720,123966779,1236960642,override,2.5388792888673946e-06,1.940627548374664,118420,I-90 W,2.0
123974003,,124786460,fill,3.101641224286235,25.87270038434056,297235,,1.0
123974004,,123950562,fill,0.0,5.025171421236678,297032,Grouse Creek Rd,1.0
123975229,,1626483137,fill,1.719649762821518e-08,0.06634858195377547,297987,E Poleline Ave,1.0
123977394,,125053454,fill,0.0,3.9074264900708044,298069,Airport Rd,1.0
123977449,,124348051,fill,1.240089843710657e-06,0.9701820913849133,296253,N Hill St,1.0
123978338,,124780741,fill,0.00019088816637631703,2.381548599091815,298092,Markwell Ave,1.0
123979889,,475081437,fill,8.209915623220297e-08,0.5619464290496126,297685,W Honeysuckle Ave,1.233
123981918,,124105653,fill,0.017527444371932585,1.0478597555320448,297987,E Poleline Ave,1.0
123981934,,124134814,fill,7.62520357966423e-09,2.6623279915635294,298247,N Silkwood Dr,1.0
123981936,,124696496,fill,0.0,0.490173316342549,297519,S Greensferry Rd,1.0
123981971,,386047874,fill,9.197281967973218e-08,0.08243674781090249,298249,Cedar St,1.0
123988459,,124199250,fill,1.4121485648059764e-07,0.05875772132719703,298523,E Shadduck Ln,1.039
123988460,,124764570,fill,0.0,0.284556685951145,298524,E Hanley Ave,1.0
123988476,,1626494508,fill,5.728390956668921e-08,0.16125599308205096,298527,E Poleline Ave,1.297
123988483,,124318852,fill,9.313225746154785e-10,0.5601736130359143,295892,N 16th St,1.022
123988486,,124018065,fill,1.146690919995308e-08,0.19767821421723397,295954,E Coeur Dalene Ave,1.0
123988487,,123998598,fill,4.660859077706255e-07,0.673948563812246,295954,E Coeur Dalene Ave,1.0
123988506,,124377290,fill,1.8122198753066454e-07,0.21329954659876194,298532,W Honeysuckle Ave,1.0
123988582,,124140271,fill,3.489673953354515e-06,0.7925266474262287,298535,E Royal Dr,1.27
123988592,,463826210,fill,2.4854671210050583e-08,0.13658218528820498,296083,E 5th Ave,1.0
123990105,,125104540,fill,0.0,0.21634898112210976,298607,N Idahline Rd,1.0
123993186,,123981934,fill,0.8201049589378137,3.9023949422966098,298247,N Silkwood Dr,1.0
123993294,,124641016,fill,9.313225746154785e-10,0.9126555522664148,298763,S Pleasant View Rd,1.133
123996157,,124063645,fill,0.0,1.1592661593792286,298889,E Shadduck Ln,1.02
123996169,,429044921,fill,1.0030651105818346e-08,6.423609011893177,298890,S Latour Creek Rd,1.0
123998432,,123917606,fill,1.9208528101444244e-09,0.7291034841434225,295954,E Coeur Dalene Ave,1.0
123998439,,124180483,fill,2.3035462469580942e-07,11.488461106159036,299001,W Milwaukee Dr,1.0
123998462,,124769569,fill,0.0035214889783909517,0.057962846607324536,299002,S Boyer Ave,1.0
123998540,,124750617,fill,0.0038080894508291745,8.81128326671356,299006,Italian Gulch Rd,1.0
123998598,,124060822,fill,1.525040715932846e-08,0.09449947166541506,295954,E Coeur Dalene Ave,1.0
124003486,,124008069,fill,0.0,0.31260823683945205,299219,S Division St,1.0
124008148,,124784423,fill,0.009996196430710595,0.5861317334690739,297335,N Boyer Ave,1.0
124008174,,124060674,fill,8.465254275809874e-07,18.690969329082293,299407,W Palmwood Ln,1.0
124011829,,463826722,fill,0.0,0.7252658930215148,297172,W 15th Ave,1.0
124011894,,1236991083,fill,0.0,17.60717179324041,299543,Upper Priest River Rd,1.0
124013577,,124156374,fill,0.0003727973966891061,3.393361198017317,299633,W Ironwood Dr,1.696
124013688,,1626483243,fill,0.48679438983111306,0.264756952140516,298532,W Honeysuckle Ave,1.0
124017917,,124329828,fill,0.0,0.3114685644060273,299792,Moon Shadow Rd,1.0
124017981,,124787155,fill,0.0,0.6639317956096136,299795,N Ramsey Rd,1.016
124018065,,124127937,fill,1.1077309382549077e-07,0.297121600803564,295954,E Coeur Dalene Ave,1.0
124018188,,124163350,fill,9.313225746154785e-10,1.172369115113952,299219,S Division St,1.0
124019679,,124779629,fill,6.111527210290864e-09,0.3057801661366284,299860,Bunker Ave,1.0
124022352,,124436622,fill,1.9454210687265156e-06,1.5276796911634278,299971,Riverview Dr,1.0
124022794,,124438745,fill,9.313225746154785e-10,0.5601736130359427,299632,N 16th St,1.0
124022892,,124647696,fill,8.992237770713983e-08,2.5054316709721434,298092,Markwell Ave,1.0
124023436,,124769475,fill,1.146690919995308e-08,0.2691636193794693,300007,W 15th Ave,1.0
124023449,,123922437,fill,0.0,0.04617743267158403,296088,S Greensferry Rd,1.0
124023880,,1626483239,fill,3.439299525643036e-08,0.021925378771015858,297685,W Honeysuckle Ave,1.0
124028089,,124789232,fill,0.0,0.12373210580437899,295892,N 16th St,1.022
124028100,,124107909,fill,9.313225746154785e-10,1.1922327385582037,300178,S 11th St,1.018
124028202,,123922373,fill,2.633962516996916e-07,0.030375987718571196,296084,C St,1.0
124030492,,1626483231,fill,0.022228349731237024,0.9144067355328502,300277,W Boekel Rd,1.026
124031609,,124163280,fill,2.213532880521364e-07,3.7057761925650254,300318,Riverview Dr,1.0
124032788,,475081438,fill,9.156272283056851e-08,1.189268216111941,300355,W Wyoming Ave,1.0
124033980,,124759295,fill,1.0371485384472424e-06,0.8449635691872004,300418,E Sherman Dr,1.112
124033991,,124803737,fill,3.998866304755211e-08,0.4054490295540063,300355,W Wyoming Ave,1.0
124034022,,124338569,fill,2.6947323846370785e-07,4.190817616439517,300421,W Palmwood Ln,1.0
124034067,,124647827,fill,5.5879627324673114e-08,0.05997252864793268,300422,S 11th St,1.021
124035929,,124646090,fill,2.1351382502758486e-07,0.12996092303785645,296087,College Ave,1.0
124037970,,124034022,fill,0.0,16.76778019946363,300421,W Palmwood Ln,1.0
124038958,,124270907,fill,0.0,0.0985077791744402,300628,S Greensferry Rd,1.0
124040299,,124784536,fill,1.1270542423876577e-07,3.5388396407915934,297684,E Foster Ave,1.0
124040307,,124060824,fill,4.586763679981232e-08,0.370811874667794,295954,E Coeur Dalene Ave,1.0
124040308,,124040307,fill,7.62520357966423e-09,0.5373097682386856,295954,E Coeur Dalene Ave,1.0
124040311,,124723436,fill,0.0,0.5542570439080237,300178,S 11th St,1.018
124040377,,124107809,fill,0.0,0.0006388998461943629,295892,N 16th St,1.022
124040433,,124040308,fill,2.864981070160866e-07,0.5785587015526517,295954,E Coeur Dalene Ave,1.0
124042178,,124275761,fill,2.0954757928848267e-08,0.6192638659512681,299404,W Wyoming Ave,1.0
124044865,,124220109,fill,1.3058494290755142e-06,0.9714784768320328,300909,N Hill St,1.0
124049436,,440951575,fill,0.340860933954362,1.8907582119743438,301087,E Harrison Ave,1.075
124049580,,125036512,fill,4.85159858560759e-07,0.29377441200421117,297684,E Foster Ave,1.0
124049581,,124789137,fill,0.009995069310567714,0.5225296728023068,301095,N Lincoln Way,1.0
