# ITD District 2 NextXDSegI repair table - derived by corridors.repair_links
# district: 2
# radius_m: 25.0
# max_bearing_delta_deg: 90.0
# require_same_bearing: True
# bearing_probe_m: 30.0
# n_segments: 3499
# n_null_next: 691
# n_fill: 448
# n_override: 16
# ambiguous_fill: 9
# ambiguous_override: 0
# skipped_off_subset: 49
# crs: EPSG:32611
# route_junction rows (ROADMAP Item 51): extents.route_junction_repairs on ITD route
#   membership - where a route turns off INRIX's link (the link is null or leaves every
#   route the segment carries) onto a head nothing in the route links into, starting on
#   the segment's second half within 20 m, turning <= 120 deg, milepost-consistent where
#   both lie on one SHS line. These cross XDGroups, unlike fill/override.
# n_route_junction: 14
segment,old_next,new_next,kind,gap_m,bearing_delta_deg,xdgroup,road_name,lanes
123910310,,124438593,fill,0.0,0.2177272453995726,295751,Hill St,1.0
123915144,,124203571,fill,0.0,0.1180306959938946,295751,Hill St,1.0
123922502,124792386,124467141,override,2.570267082359948e-07,0.0224869093433994,296091,W Taylor Ave,1.0
123924913,,124711174,fill,0.0,29.458664705414776,296148,ID-128 E,1.0
123924927,,124781675,fill,0.0,0.006211697369622,296150,5th St,1.0
123929488,,124949775,fill,1.862645149230957e-09,0.7411705108829096,296300,Hill St,1.0
123929494,,124344405,fill,0.0,24.888037415228386,296301,,1.064
123929524,,124203605,fill,0.0,0.0183466376486194,296302,3rd Ave N,1.0
123929620,,124217326,fill,2.5436747819185257e-08,4.980651224571375,296304,11th Ave,1.035
123933929,,125166099,fill,0.0,0.5911406016422234,296451,3rd Ave N,1.0
123933940,,124188660,fill,5.2908589064883405,55.25361647324331,296452,Lenore Grade,1.0
123941896,,124853699,fill,0.0,7.731456930787118,296716,20th St N,1.0
123958077,,124492690,fill,2.569811471289392e-07,0.0224793640941811,297337,W Taylor Ave,1.0
123962561,,124388660,fill,0.0054481921317926,0.0425177399041842,297520,10th St,1.0
123966370,,123972385,fill,2.443777625885038e-06,4.909843715781562,297662,Cow Creek Rd,1.0
123967149,,124180157,fill,3.725290298461914e-09,6.776052053569089,297688,E 22nd St N,1.0
123970737,,124487597,fill,0.0,0.5909404237715989,296302,3rd Ave N,1.0
123973034,,124203643,fill,6.520297361975743e-09,0.5955586805122266,296300,Hill St,1.0
123973037,,125038516,fill,0.003505713412704,3.43379541434166,297920,4th Ave,1.0
123975192,,124193113,fill,1.862645149230957e-09,2.3872857267055565,297985,20th St N,1.0
123978373,,124036158,fill,0.0,0.038286801548196,298094,Walnut St,1.0
124005205,,124360985,fill,3.725290298461914e-08,0.9572789560123168,299285,5th St,1.066
124007447,,124082715,fill,0.003189450033885,0.3945701255466645,299385,Frontage Rd,1.0
124008083,,124151194,fill,9.313225746154783e-10,0.4891517869683639,299403,S Main St,1.0
124011710,,123997753,fill,8.110940447774661e-09,65.92729826375563,298975,Potlatch Way,1.0
124014130,,123962921,fill,0.0,77.1459928120612,297530,,1.0
124016724,,771092967,fill,0.0003779722337962,0.08953615887566,296451,3rd Ave N,1.0
124016750,,124839339,fill,0.0,2.0844235916728167,299730,5th St,1.0
124017901,,124225945,fill,0.0,0.2502835611871603,296716,20th St N,1.0
124018068,,124203601,fill,0.0020739227487209,0.0907676376505719,296451,3rd Ave N,1.0
124019777,,123966370,fill,3.0923073918555893e-07,7.131170511620496,297662,Cow Creek Rd,1.0
124022732,,124632997,fill,1.3969838619232178e-08,1.90180118387957,299979,N Jackson St,1.0
124023883,,124252020,fill,0.0,1.5784617579411702,300027,18th St N,1.108
124031564,,124461822,fill,0.0,0.0007110527112672,300316,Prairie Ave,1.0
124033969,,124255815,fill,9.033828973770143e-08,0.0038435583028331,300417,8th Ave,1.0
124035826,,124338280,fill,3.259634208262613e-08,0.9563081102629098,300471,5th St,1.105
124036158,,124432447,fill,9.313225746154783e-10,0.0387057731559252,298094,Walnut St,1.0
124037289,,124844942,fill,0.0,0.0528578038452565,300528,8th Ave,1.0
124038974,,124787099,fill,1.866279582246369e-09,1.103173626114199,296300,Hill St,1.0
124042158,,124267261,fill,0.0,0.0298866924974845,300783,Pine St,1.0
124042184,,385682736,fill,0.0,7.02004812732855,300785,8th St,1.358
124043141,,124711138,fill,0.0,0.0392520719472031,300834,Walnut St,1.0
124043179,,124661775,fill,3.373428752075524e-06,0.1288599383400992,300835,Prairie Ave,1.0
