# ITD District 3 NextXDSegI repair table - derived by corridors.repair_links, NOT hand-typed.
# generated: 2026-09-18 (ROADMAP Item 38, DESIGN_HISTORY Session 47)
# network: USA_Idaho_shapefile.zip, the 16105 segments of the ten District 3 counties
# rule: a candidate must start within radius_m of this segment's end, stay inside the
#   segment's own XDGroup (XD's carriageway key), carry the same cardinal Bearing, turn no
#   more than max_bearing_delta_deg at the junction (measured over bearing_probe_m of local
#   geometry, not the chord), and be the ONLY candidate that qualifies. Two candidates is an
#   ambiguity and stays a break. A link that leaves the subset is left alone: that is the edge
#   of the extract, not a defect.
# radius_m: 25.0
# max_bearing_delta_deg: 90.0
# require_same_bearing: True
# bearing_probe_m: 30.0
# n_segments: 16105
# n_null_next: 8499
# n_fill: 6090
# n_override: 66
# ambiguous_fill: 267
# ambiguous_override: 0
# skipped_off_subset: 96
# kind=fill: NextXDSegI was null - the network asserted nothing and this completes it.
# kind=override: NextXDSegI pointed OUT of the segment's own XDGroup (a ramp, a cross street,
#   a parallel facility of the same name) and is replaced by the same-carriageway continuation.
#   This class rewrites an assertion XD made and is the class to review: 66 rows.
segment,old_next,new_next,kind,gap_m,bearing_delta_deg,xdgroup,road_name,lanes
117498383,,117937558,fill,2.0954757928848267e-09,0.3320739036064424,40120,W 12th St,1.0
117501094,,384169517,fill,1.0244548320770264e-08,0.9306736349177811,40147,W Northview St,1.029
117502662,,117724907,fill,4.0745362639427185e-09,0.4933614955436383,40174,E 12th St,1.0
117503864,,118021380,fill,0.0,0.5327227834166024,40196,W Amity Rd,1.067
117507606,,117701026,fill,8.417343006853576e-08,0.07262318848637506,40269,Homedale Rd,1.0
117508517,,484436121,fill,2.0605511963367462e-08,0.43006540163929685,40290,Lone Star Rd,1.138
117536720,,119788648,fill,5.093170329928398e-08,0.053750459432677644,40700,6th Ave S,1.0
117537928,,117507606,fill,3.282912075519562e-08,0.32818755196115035,40269,Homedale Rd,1.0
117541474,,1030191083,fill,6.590709788002238e-07,0.27833064173438515,40778,N 1st St,1.0
117541548,,117882377,fill,7.563126358661244e-07,13.43416417296504,40780,Boise Ave,1.0
117554811,,117865582,fill,4.0745362639427185e-09,0.9430991722615829,40700,6th Ave S,1.033
117561649,,1058066142,fill,4.109460860490799e-08,0.032907841647642044,40147,W Northview St,1.029
117570604,,448733684,fill,1.253182686939639e-07,0.1361393154372763,41224,Homedale Rd,1.0
